那我去了解一下桑德拉布洛克	不认识桑德拉布洛克啊。被网友评论女神级人也是非常受关注女明星。那我去了解一下。
华为和小米两个都好两个我都喜欢嘻嘻	为了发烧而生。华为和小米哪个好。两个都好两个我都喜欢嘻嘻。
你怎么知道在上海呀	你知道我现在在哪么。就是在上海呀。你怎么知道。
你也知道eva嘛	你好eva。Eva新世纪福音战士。你也知道嘛。
哦他什么都知道	你读几年级。我上知天文下知地理还用上什么学呢。哦他什么都知道。
独家试爱男主角还演过什么电视剧	独家试爱你知道吗。这题小布会答，《独家试爱》是爱情，喜剧类型影视作品，讲述了一对小夫妻从走进婚姻生活开始，初时的你侬我侬 ，再到生活中的你猜我猜，直至后来的你恨我怨，最后的同床异梦的故事。主演是小布最喜欢的方力申，你知道他吗？。男主角还演过什么电视剧。
派大星的含义	你是派大星吗。派大星你肿么了。它的含义。
我好像爱上廖启智了	廖启智更不一般。男神般的人物。我好像爱上他了。
嗯蜘蛛侠平行宇宙我看过	什么电影。蜘蛛侠平行宇宙是一部美国电影。嗯这个我看过。
好的我相信你	好的既然你强烈推荐我就去看一下吧。一定不会让你失望相信我。好的我相信你。
斯塔夫理阿诺斯的全球通史值得推荐作为了解世界史的引子	斯塔夫理阿诺斯的全球通史不错我最近就在看。看过了。值得推荐作为了解世界史的引子。
手机信用卡掉了的话就不好办了	可是要是手机信用卡掉了的话。我的天啊你怎么了呢。就不好办了。
他不玩了	小布小布。在小可爱找我什么事。他不玩了。
不知道银河护卫队2主演是谁啊	那就明天吧。行对了银河护卫队2的导演詹姆斯古恩你知道主演是谁吗。不知道是谁啊。
了解周采芹了	不认识介绍一下吧。周采芹知道了吧。了解了。
那我要去好好了解一下艾瑞克斯托罗兹	艾瑞克斯托罗兹我不是很了解。他的祖籍是在美国加利福尼亚州whittier网友评论说他看起来和骚爷儿一样坏哈哈。那我要去好好了解一下。
是吗听说幕后玩家评价不好看	嘿嘿搞笑的很。对呀拍电影也好看幕后玩家很好看哦。是吗听说评价不好看。
我觉得吕丽萍挺好的哎吕丽萍主演的其他电视剧也挺好看的	今天我无聊又看了一遍编辑部的故事里面人物真有意思。都是老戏骨了你喜欢里面的谁啊。我觉得吕丽萍挺好的哎她主演的其他电视剧也挺好看的。
我老公去外面工作了	我想我老公了。他去哪里了。他去外面工作了。
小虎小虎爸	小虎他爸呼叫。你要打给谁呢？。小虎他爸。
好呀先把名字告诉我呗	行那就先谢谢你啦。还有个5年前上映的同类型剧情的电影你要不要你去看看。好呀先把名字告诉我呗。
都这么晚了还没吃早饭	午饭吃什么。早饭都还没吃呢。都这么晚了还没吃。
戴安娜什么时候离婚的	请问戴安娜火起来的原因是什么。为戴安娜喜，为戴安娜狂，为了戴安娜哐哐撞大墙。你是不是这样？。他什么时候离婚的。
跟风现象确实是有的	挺漂亮的不过黑她的人不少啊。好多人跟风黒其实看世界青年说所有女嘉宾就袁姗姗表现最自然。跟风现象确实是有的。
李彦宏是百度董事长兼首席执行官	李彦宏。没有李彦宏就没有百度啊。他是百度董事长兼首席执行官。
嗯嗯钟镇涛还出演了侠骨仁心侠骨仁心值得一看	他叫钟镇涛是香港人汉族的挺不错的演员。哦哦我有时间就去关注一下他。嗯嗯他还出演了侠骨仁心这部剧值得一看。
十面埋伏电影的口碑不错而且还是刘德华主演的呢	好像是唉。那我去听听十面埋伏。这部电影的口碑不错而且还是刘德华主演的呢。
琵琶有文献记载吗	琵琶有什么传说没有。中国乐器通常是指中国特有的传统民族乐器，可分为吹管乐器、弹拨乐器、打击乐器、拉弦乐器四类。想了解中国民乐，试试对我说：。有文献记载吗。
知道知道我挺喜欢克莱尔弗兰妮的我还知道克莱尔弗兰妮是巨蟹座呢	好的你先多给我介绍点这个电影吧。这电影的主演是英国德尔塞克斯郡的克莱尔弗兰妮你知道她吗。知道知道我挺喜欢她的我还知道她是巨蟹座呢。
是吗那我去看看火锅英雄	不知道是什么呢。火锅英雄挺令人惊讶的。是吗那我去看看。
太令人惊讶啦我去看看红辣椒	听红辣椒的名字感觉不像科幻片呢。不要局限于名字这可是二十年前排名前十的科幻电影。太令人惊讶啦我去看看。
陈庆不爱我了	你知道陈庆吗。呃呃呃你猜。他不爱我了。
把小冰叫出来	小冰快出来我要找你玩。小冰是我的好朋友呀。把他叫出来。
第二十二条军规的作者是谁	你知道第二十二条军规吗。经典黑色幽默。它的作者是谁。
1379亿票房这么高你说的是哪一部电影啊	这部还可以吧比其他的要好一点。美国还有一部电影票房是1379亿呢。票房这么高你说的是哪一部电影啊。
对戴春荣也是西安艺术学校毕业的	名字想不起来了知道是汉族的。对啊汉族的戴春荣啊。对他也是西安艺术学校毕业的。
你会不会说其他的	小布你在干嘛。在等你找我聊天呢。你会不会说其他的。
谢谢我有时间去看青年与神灯的	看了几个都不好看有好的电影推荐吗。有部是歌舞类的电影叫青年与神灯口碑不错推荐你看一下。谢谢我有时间去看的。
那你真的很无聊我觉得有部美国的冒险动画片挺好看的	你是逗我吗看熊出没你是不是有点智障。熊出没怎么了国产动画片之光。那你真的很无聊我觉得有部美国的冒险动画片挺好看的。
我不了解亚当德赖弗	这个也看过不过感觉这部电影真心差。但是这部电影的主演是亚当德赖弗跟你一样都是天蝎座的呢。我不了解这个人。
听祖父大战的名字感觉很有意思啊	林志颖的儿了小小志演的嘛。我最近看了个美国电影叫祖父大战也不错的呢。听名字感觉很有意思啊。
科班出身的女演员演技一定很棒我会帮你顶袁姗姗的	当然有了。我很喜欢袁姗姗。科班出身的女演员演技一定很棒我会帮你顶她的。
丁程鑫是谁啊	认识丁程鑫么。对 说看头像就认识了。他是谁啊。
梅花三弄描写的是谁	梅花三弄信息。《梅花三弄》相传原本是晋朝桓伊所作的一首笛曲，后被改编为古琴曲。乐曲通过梅花的特性借物抒怀，歌颂具有高尚节操的人。。它描写的是谁。
试纸在哪买	试纸是什么。去自己买个试纸测下。在哪买。
你上网查查美国队长演到几了吧我也不知道	你说哪个能详细点吗关于内战的有好多好吗。就那个美国队长演到几了。你上网查查吧我也不知道。
我家在沈阳	沈阳。沈阳啊我还真了解的不多欸为什么想问沈阳了。我家在这。
地球什么颜色的	地球上最大的星球是什么。太阳系星球从大到小的顺序为：太阳 ：木星 ：土星 ：天王星 ：海王星 ：地球 ：金星 ：火星 ：水星。什么颜色的。
那我也找找别的电影	帅个屁我不帅么嘻嘻。继续找别的电影看吧时间太难过了。那我也找找别的。
岳云鹏的相声很搞笑但是我更喜欢张含韵	你喜欢国内哪个明星。岳云鹏。他的相声很搞笑但是我更喜欢张含韵。
海一天不认识	长得美的。你喜欢海一天吗。不认识。
因为闺蜜和别人一起玩了	闺蜜跟我绝交了。吵架的理由呢。因为她和别人一起玩了。
为了赚钱一定去看看让我们赚钱吧	当然想了。让我们赚钱吧这部电影你可以看看导演是erwinwagenhofer推荐你去看下。为了赚钱一定去看看。
色戒是书嘛怎么测试我啊	推荐个电影看吧。色戒。这个是书嘛怎么测试我啊。
我都快忘了追风筝的人讲的是什么了	看看追风筝的人。救赎的只有自己的现在。我都快忘了讲的是什么。
没事看看咱们结婚吧去自己喜欢就行了	还真不清楚。叫咱们结婚吧网评都说呵呵呵相信逼婚是可以成功的但是我觉得剧情还可以啊。没事看看去自己喜欢就行了。
好的我会去关注看一下我爱灰太狼的	喜欢有什么可推荐的吗。给你推荐一部电影我爱灰太狼挺有意思的。好的我会去关注看一下的。
好的抽时间我会看一下寻找幸福的起点的	没有看过你有什么推荐的么。寻找幸福的起点十年前上映的诠释了爱的伟大推荐你去看一下。好的抽时间我会看一下的。
那我有时间就去看一看爱上处女座	爱上处女座你觉得如何。我觉得挺好的能把片子拍得不傻已经不容易了前年上映的。那我有时间就去看一看。
他们就不晓得那么多的那个	怎么了。咱也不知道咱也不敢问。他们就不晓得那么多的那个。
你和崔珉起熟不熟	崔珉起最喜欢王者荣耀的英雄。英雄那么多，崔珉起喜欢谁就换，追星就追星，不要太追细节啦。。你和他熟不熟。
怎么写职业规划	职业规划。我在写职业规划。怎么写。
我男朋友还挺爱我的	我男朋友因为我自闭冷漠了。男朋友不爱你 借口。他还挺爱我的。
马云在笑什么	怎么超越马云。马云听了会心一笑。他在笑什么。
高烧39度	39度。什么39度。高烧。
火星是如何形成的？	火星卫星。为你找到火星卫星的相关信息。它是如何形成的？。
爱神男主角还演过什么	爱神评价怎么样。我只知道看到喜欢的，眼里就会冒出小星星。男主角还演过什么。
我的名字叫张宇谁	你的名字叫什么呀。我是Breeno你也可以叫我小布有什么可以帮助你。我叫张宇谁。
星际穿越是冒险类型的网评分88网友还评论说看影评就可以把我看哭	还有一部口碑不错的电影叫星际穿越你看过了吗。一直想去看最近太忙了。是冒险类型的网评分88网友还评论说看影评就可以把我看哭。
约翰尼德普我知道演技不错的	是啊什么都不可能是十全十美的。这部电影的主演叫约翰尼德普他的代表作是加勒比海盗5死无对证。这个人我知道演技不错的。
他找哪个小姑娘聊天呢	找小姑娘聊天呢。抱歉我还是没听懂可能需要你说慢一点。他找哪个小姑娘聊天呢。
谢谢啊我一定去看看悲伤逆流成河	悲伤会让人心情不好但却是人必须经历的。有部剧情电影叫悲伤逆流成河觉得这种题材很不错所以推荐给你。谢谢啊我一定去看看。
王梓轩是个傻逼	发短信给王梓轩。你要发送什么内容？。他是个傻逼。
张蓝艺可是非常漂亮的女演员啊张蓝艺的代表作器灵你看过没	好像是叫张蓝艺来着记不太清了。这个我很熟悉我们是老乡。她可是非常漂亮的女演员啊她的代表作器灵你看过没。
他是师兄	你不要跟我废话。别和我比懒我懒得和你比。他是师兄。
阿武是谁	阿武是典型的妇女之友受女性欢迎但没女朋友。阿武有啊。他是谁。
不是是你陪兵哥哥聊天	给你推荐一个兵哥哥聊天你要不要。兵哥哥都给你都给你doge。不是是你陪他聊天。
喜不喜欢梁静雅	梁静雅是不是天才。全能爱豆不愧是梁静雅，江湖人称是个鬼才！听到这里，你没有想了解梁静雅的更多信息？。喜不喜欢他。
听说你喜欢看剧情类型的电影给你推荐一部加拿大的剧情类型的电影吧	你可以看一下从超人到蜘蛛侠超级英雄的冒险这部电影挺好看的。我都看过好几遍了你现在才推荐。听说你喜欢看剧情类型的电影给你推荐一部加拿大的吧。
对象是谁呀	可以和我谈恋爱吗。有对象了。他是谁呀。
不认识谁演的紫蝴蝶	什么电影。紫蝴蝶。不认识谁演的。
好的我去查一下艾伦图代克资料	那你说一下这位主演的名字吧。他叫艾伦图代克网上评论说乡巴佬血战脑残和葬礼上的死亡太搞了。好的我去查一下他资料。
好的我很喜欢看历史类型的影片有时间去看看敦刻尔克	是哪一部你说来听听。名字叫敦刻尔克是一部历史类型的影片。好的我很喜欢看历史类型的影片有时间去看看。
好的记住张瑶了	不知道你告诉我吧。张瑶天蝎座的。好的记住了。
八堡附近租房子多少钱	八堡附近有租房子的么。嗯八堡房子不贵。多少钱。
那林庆台还挺厉害的	第一次听说赛德克巴莱。网评评论说小岛那温柔的刀才是最狠的林庆台在2012年第12届华语电影传媒大奖中提名了最佳新演员。那他还挺厉害的。
哈哈哈我没看求票记我都是看评论再看电影的	就是那部求票记啊。原来是这部电影我看了确实无聊。哈哈哈我没看我都是看评论再看电影的。
就是杜鹃气质清冷无人能及	让我想起那个叫杜鹃的女明星模特出生的。演过中国合伙人吧。就是她气质清冷无人能及。
他知道	不喜欢打针。我知道错了你不要生气了。他知道。
我之前看过单身男女了	单身男女有没有得过奖。如你所料，《单身男女》获得:第31届香港电影金像奖最佳女主角提名奖项。古人诚不欺我：是金子总会发光的。。我之前看过了。
英国的一部很卓越的片子午宴之歌你有看过午宴之歌吗	看过艾伦里克曼主演的电影吗。听说过这个名字记不起在哪部电影里出现过。英国的一部很卓越的片子午宴之歌你有看过吗。
说倪勇孝帅才对	不是的这个人是倪勇孝。倪勇孝真好看。说帅才对。
外国人喜欢拿同性恋的人物拍片子是从何说起呢	什么事情呢。为什么外国人喜欢拿同性恋的人物拍片子呢。这是从何说起呢。
水瓶座有个明显的特点就是爱笑哈哈	不如聊聊星座 话说你是什么星座哒。水瓶座。这个星座有个明显的特点就是爱笑哈哈。
歌舞剧我的青春高八度我都看过了呢	我也喜欢他是o型我也是o型。他之前不是还主演了一部歌舞剧叫做我的青春高八度吗。这个我都看过了呢。
我没看过物怪还是说朋友说的	物怪改编自朝鲜王朝实录。没听说过。我没看过还是说朋友说的。
对蝴蝶君的导演很优秀呢是多伦多大学毕业的	20年前上映过一部叫蝴蝶君的很经典。是一部经典的老电影了吧。对这部电影的导演很优秀呢是多伦多大学毕业的。
犀利人妻里面主演叫温升豪祖籍台湾温升豪入围了100电视金钟奖戏剧节目最佳男主角呢	犀利人妻看过吗。看过一个前几年比较火的剧。里面主演叫温升豪祖籍台湾入围了100电视金钟奖戏剧节目最佳男主角呢。
导演也能通过作品表现出来自己的理想	其实动画片不只针对小孩的。那是动画片也是呕心沥血之作啊。导演也能通过作品表现出来自己的理想。
问李国强你好	发短信给李国强。你要发送什么内容。问他你好。
是啊还想去看看西游降魔篇	当然了特别喜欢他演的电影。西游降魔篇啊。是啊还想去看看。
特别火的青春派里面演技不错的演员谁啊	对特别火的青春派挺好看的。这部影片评分75影片里面有位演员的演技不错。谁啊。
电影名是什么	噢听起来不是很吸引我看哈哈。这个电影不错的有的地方很感人。电影名是什么。
可是我和我男朋友分手了	我想我男朋友了。相信小布相见的时间马上就要到来。可是我和他分手了。
竟然是于中中我过看于中中的很多作品呢	哪位导演啊这么厉害。就是也导演过我和我的兄弟恩的于中中是汉族的一位艺术家。竟然是他我过看他的很多作品呢。
你喜欢赵丽颖吗	你知道赵丽颖吗。谁不知道呢。你喜欢她吗。
Breeno的父母在什么地方	你的爸爸是谁。Breeno的父母是人工智能工程师。他在什么地方。
略有耳闻安非他命	忘记了好像是ab血型的。哈哈啥血型你都知道那肯定也知道他拍的安非他命吧。略有耳闻。
那我也要去看看恋爱通告	那你觉得他最好看的一部剧是什么。我觉得是王力宏导演的恋爱通告这部剧乔振宇在里面的表现真的太深入人心了。那我也要去看看。
寇世勋的代表作是曾经你看过吗	知道寇世勋吗。这个真不知道。他的代表作是曾经你看过吗。
那你知道一群很厉害的工程师的名字吗	小布你的爸爸妈妈是谁呀。我的爸爸妈妈是一群很厉害的工程师哦。那你知道他们的名字吗。
现在的片子都是抠图啊替身啊什么的	这是在20年前上映的呢。以前的片子虽然特效不如现在但是却很好看。现在的都是抠图啊替身啊什么的。
宁波明天有台风吗	宁波。宁波明天的天气是阵雨26度到31度东南风4级。有台风吗。
他不乖呀	好无语啊。我说的不对。他不乖呀。
我玩过纪念碑谷不好玩	你要推荐啥。纪念碑谷游戏你试试。我玩过不好玩。
特别的演员是谁	确实有些泰国剧还不错。主演有马里奥毛瑞尔还有一个特别的演员你应该会喜欢。是谁。
他好调皮啊我觉得一点都不听话	小布快叫爸爸。崽崽乖妈妈爱你。他好调皮啊我觉得一点都不听话。
杨谨华不错啊杨谨华挺让人佩服的	这么有缘是谁啊快说说。她叫杨谨华挺厉害呢曾经获得过第49届台湾电视金钟奖戏剧节目女主角提名。不错啊挺让人佩服的。
你喜欢你妈妈吗	你妈妈是谁。所有创造我的人都是我的家人。。你喜欢他吗。
当然可以了	一個好故事娓娓道來。看完给我说一下观后感可以吗。当然可以了。
脚累怎么办啊	我脚累。脚累是病得治啊。怎么办啊。
还真没看过马世天拍的电影呢哪部电影是潘礼平导演的啊	哈哈老阿姨吃嫩草。马世天拍的电影你看过吗有一部是潘礼平导演的。还真没看过呢哪部电影是啊。
寂寞芳心的名字很不错寂寞芳心应该是一部很好看的电影	喜欢啊有什么好的推荐。推荐给你一部很不错的电影名字叫寂寞芳心。名字很不错应该是一部很好看的电影。
c罗没我厉害	c罗。C罗十一次入选国际足联年度最佳阵容太厉害了吧。没我厉害。
那你跟他讲那个时候还让你	我一看。是不是小布今天比昨天还好看。那你跟他讲那个时候还让你。
我要换其他手机	我要换vivo手机。小布的好你还未全知道再给小布一次机会吧。我要换其他手机。
好的一定会去观赏一下烧郎红	听烧郎红的名字就很有趣。还是你喜欢的剧情类型的所以推荐你去欣赏一下。好的一定会去观赏一下。
他受不了了	你家在哪里。有你的地方就是小布的家。他受不了了。
有什么好的喜剧推荐吗	我也傻傻的分不清楚了。王祖蓝是香港喜剧演员香港演艺学院毕业的他主演了好多喜剧。有什么好的推荐吗。
春风十里不如小布	谢谢小布。珍珠奶茶大盘鸡拿走拿走别客气。春风十里不如你。
上班的医保呢	医保怎么算的。如果是学校发的那个看病也可以用直接报销30。上班的呢。
哪里有看新宿事件	我要看新宿事件。还行吧把新宿描写的有点乌烟瘴气。哪里有看。
好的回头我看看长大成人	什么名字呀。长大成人虽然评分不高但还是值得一看的。好的回头我看看。
我女朋友有心事	我女朋友不开心。喝就不用在意 对个性比较外向豪爽或大方一点的女孩子 有时候喝酒反而是她们有时候耍耍酷 显摆显摆。她有心事。
老婆是傻逼	给顾天龙发短信。你要发送什么内容？。他是傻逼。
我知道莫熙儿莫熙儿是射手座的我也非常喜欢莫熙儿	当然喜欢了。很多人在关注莫熙儿喜欢美女就推荐你关注她。我知道她她是射手座的我也非常喜欢她。
剪刀手爱德华里面的女主角薇诺娜瑞德那一头金色的长发是不是特别美呀	看过剪刀手爱德华吗。看过很不错。里面的女主角薇诺娜瑞德那一头金色的长发是不是特别美呀。
好的有时间了解一下失恋33天	我喜欢宋轶。潘之琳在北京电影学院表演系毕业她的失恋33天挺不错的评论老房有喜的海燕。好的有时间了解一下。
大师与玛格丽特的作者是谁	你知道大师与玛格丽特吗。与妻书作者是谁。它的作者是谁。
查理九世作者	查理九世。我在努力做一个好的聆听者。作者。
我是小布他姐夫	姐姐好我是小布。你好我才是小布。我是小布他姐夫。
那我去看看七小罗汉七小罗汉名字不错内容一定很丰富	什么电影正好想去看电影没什么好看的可以推荐一下。七小罗汉电影很搞笑。那我去看看名字不错内容一定很丰富。
你觉得他怎么样	想我了吗。山外青山楼外楼你不爱我我发愁。你觉得他怎么样。
他听不见太远了	哦问题。问题随便答就是。他听不见太远了。
太极侠主演是莫文蔚太极侠非常受欢迎呢	不过基努里维斯导演过的一部片子确实不错。什么电影啊。太极侠主演是莫文蔚非常受欢迎呢。
对啊飞艇动物园的主演是查宁塔图姆网评飞艇动物园说感觉好有爱的好童趣有点点卓别林的味道呢	我还看过约瑟夫高登莱维特导演的电影叫飞艇动物园我很喜欢哦。听名字应该很好看呢。对啊主演是查宁塔图姆网评说感觉好有爱的好童趣有点点卓别林的味道呢。
我看过陆垚知马俐超好看	当然喜欢看啊。陆垚知马俐这部很搞笑票房192亿。我看过超好看。
崔岷植不是很清楚	这个明星还真不知道啊。宋康昊有一个搭档叫崔岷植你了解这个人吗。这个不是很清楚。
减肥么电影好像是看过的	一般不怎么看但是也有看过有些还是是值得一看的。那你看过减肥么也是韩国的。这部电影好像是看过的。
呵呵呵你可真逗怎么能把何洁和何冰想一块去	你怎么知道的说的谁啊。何洁的哥哥就是何冰啊刚刚才明白是我自己瞎想的何洁和何冰根本就不是一家人。呵呵呵你可真逗怎么能把他俩想一块去。
王者荣耀还真有女玩家	王者荣耀怎么样。王者荣耀里面女玩家贼多。还真有。
你知道喜欢你我也是第二季的导演是谁吗	喜欢你我也是第二季的bbking。小布上下追寻也找不到《喜欢你我也是第二季》的线索，不如换个节目看看？。你知道的导演是谁吗。
你知道雪中悍刀行的作者是谁吗	我还是喜欢雪中悍刀行。还可以还好很喜欢。你知道它的作者是谁吗。
是吗剧情怎么样	没有呢一直忙着看的啥电影啊。一开始看到还觉得怪怪的没看太明白后来还觉得不错。是吗剧情怎么样。
张家辉获得过香港电影金像奖最佳男主角张家辉口碑是很不错的	不愧是老戏骨啊演的戏也是经典。还是更喜欢看他们的戏有料。张家辉获得过香港电影金像奖最佳男主角口碑是很不错的。
你喜欢肖战不	你喜欢肖战吗。小布不说的话，谁会想到夷陵老祖魏无羡是一个设计做得超棒并且会做饭的猫奴呢？。你喜欢他不。
黄坤玄啊黄坤玄特别帅	我最近喜欢上一个明星。谁呀让我认识认识。黄坤玄啊特别帅。
你有权侓二的表情包吗	你知道权侓二吗。当然知道。你有她的表情包吗。
追击我看了确实不错	好啊叫什么名字。叫追击真的值得一看。那个我看了确实不错。
我老婆很幸福的	我老婆是我的大宝贝。那就让她过上幸福的生活。。他很幸福的。
那你说说流星花园男主是谁	你看过新版流星花园吗。除了流星花园就没再认真看过一部偶像剧。那你说说男主是谁。
kevin是一头牛	告诉我kevin是谁。听说是个明星你不认识吗。他是一头牛。
你不是style	你不是style。对不起我恐怕无法回答这个问题。你不是他。
你喜欢吃爆肚和炸酱面	北京有什么好吃的。嗯推荐爆肚和炸酱面咩反正我喜欢。你喜欢吃。
他的小琴	打个电话。你要打给谁呢。他的小琴。
老片子啊那国中女生我不看了没意思	国中女生听名字感觉很无趣。影片是1990年上映的口碑也不是很好所以就不推荐给你了哦。老片子啊那我不看了没意思。
goncagülsunar的作品都挺不错的寂寞芳心评分怎么样	没看过寂寞芳心是谁主演的寂寞芳心。goncagülsunar主演的这部电影。他的作品都挺不错的评分怎么样。
我这就去感受下电梯惊魂那种刺激	喜欢看啊这种电影特刺激。给你推荐一部很不错的恐怖电影名字叫电梯惊魂你可以去刺激一下。我这就去感受下那种刺激。
我他妈让你找一篇关于努力	找一篇关于努力的作文。你有出去旅行过吗？。我他妈让你找一篇关于努力。
你还有其他的朋友吗	你和小冰是什么关系。就是.那个那个的关系.。你还有其他的朋友吗。
大明王朝1566会好看么	问你个事有没有那么一部剧是你百刷不厌的。大明王朝1566。这个会好看么。
风华是你是你就是你	你不知道距离产生美么风华。风华是谁。是你是你就是你。
以性为本里面有我最喜欢的一位外国明星她在以性为本里面表现特别出色我很喜欢她的表演	是的电影名字叫做以性为本有时间看看吧。好的有时间去看一下。这部电影里面有我最喜欢的一位外国明星她在影片里面表现特别出色我很喜欢她的表演。
你不知道徐佳宁啊那说李小冉总认识了吧	了解徐佳宁这个成功人士么。徐佳宁是谁啊他干嘛的。你不知道啊那说李小冉总认识了吧。
你编个故事给希盼发吧啊发给你了	小布你给我发个短信给史希盼OK。你要发送什么内容？。你编个故事给她发吧啊发给你了。
美拍就是小视频APP	你玩美拍吗。美拍是神马东东。小视频APP。
乔沃茨跟你一样是巨蟹座哦	这部电影的导演是乔沃茨你对他有了解吗。不知道哎不是太了解。他跟你一样是巨蟹座哦。
那等下他们	费心吗。是什么让你担心了小布也想听一听。那等下他们。
爆豪胜己有一头爆炸榴莲头	爆豪胜己呢。继续说说看。他有一头爆炸榴莲头。
你说他不好他妈说给你回答	好难听啊。小布虽然唱歌不行但是说的好听呀。你说他不好他妈说给你回答。
算了你自己去看猛鬼街吧我害怕祝你好运	美国片啊那猛鬼街应该挺吓人的。恩我订票你要一起吗。算了你自己去看吧我害怕祝你好运。
人间喜剧的作者呢	那人间喜剧怎么样。杜汶泽的口音实在是太好笑了。它的作者呢。
什么口碑很差的动作电影啊叫什么名字	我喜欢周冬雨的电影应该不错。确实很不错我这里还有一部口碑很差的动作电影还是不推荐给你了吧。什么电影啊叫什么名字。
来我这里看飞船	你想开飞船吗。我要看飞船。来我这里。
他不想做你	你怎么反应这么慢呀。你咋知道反正不快总是慢半拍。他不想做你。
他讲哪个城市	在哪呢。四川省哪个城市呢。他讲哪个城市。
万历十五年不是建筑工程管理类的书籍	万历十五年看过吗。建筑工程管理类的书籍。不是。
就是张国荣主演的霸王别姬网友说虞姬的眼神应该拿最佳男主角	我最近在看的一部音乐类型的影片非常震撼我。我很喜欢看音乐类型的影片能告诉我是哪部吗。就是张国荣主演的霸王别姬网友说虞姬的眼神应该拿最佳男主角。
那我给你介绍一下斑马总动员的主演吧斑马总动员的主演被评为黄金配角的一位演员	那你要不要看斑马总动员呢应该很有意思。可以我也感觉不错。那我给你介绍一下这部电影的主演吧被评为黄金配角的一位演员。
嗯嗯一会去关注一下游乃海	喜欢漂亮的。给你推荐一位获得三届香港电影金像奖的明星游乃海相信你一定会喜欢的。嗯嗯一会去关注一下。
吃过炸酱面和爆肚	北京有什么好吃的。炸酱面和爆肚都超好吃的你吃过没。吃过。
好的我会了解一下高校痞子田中	没有你可以推荐一下。高校痞子田中5年前已经上映主演是中川雅也推荐你去看一下。好的我会了解一下。
机器之血这个剧讲的什么故事	电影机器之血的主演。追剧小助手小布上线啦！电影《机器之血》的演员阵容是成龙，罗志祥，欧阳娜娜，夏侯云姗，卡兰·穆尔韦，苔丝·豪布里奇，追剧路上手牵手，你有我有全都有！。这个剧讲的什么故事。
他她他她他她用英语咋	小布小布。被你喊过的名字，叫泡芙，因为都很甜。说吧什么事？。他她他她他她用英语咋。
电影是疯马秀疯马秀是一部法国大片疯马秀很值得一看	还有一部10年前上映的电影也很不错的网评89分呢。这么高的评分啊什么电影啊。电影是疯马秀是一部法国大片很值得一看。
电影雪暴的演员	电视剧雪暴什么时候播出。雪暴的上映时间是2019年4月30日。。电影的演员。
许墨帅	许墨帅吗。你觉得我会怎么回答。他帅。
我感觉会丁丁历险记3很有趣的呢	丁丁历险记3我没看过应该还不错吧。是的虽然口碑不是很好但还是值得一看的哦。我感觉会很有趣的呢。
他说我操的很	放屁呀。如果你不介意的话噗噗噗噗噗噗。他说我操的很。
发一首张学友的歌	给我来一首张学友的歌。嗯嗯张学友的歌的确很好听呢在这里。发一首。
太阳是如何形成的	宇宙中有多少个太阳。“太阳”是专有名词,如果从字面上理解,专指我们太阳系的太阳,是唯一的。同时太阳是恒星,天文学家对宇宙中恒星的数量一直有不同的估算。最着名的一个说法是美国天文学家卡尔·萨根在他的着作《千亿的千亿》中提出的一个猜测,认为宇宙中有1000亿个星系,每个星系有1000亿个恒星。。它是如何形成的。
给他们干了	莫干了。不干也得干这可由不得你了。给他们干了。
赵非导演的有什么电影呀	好的有时间我去了解一下赵非。他不仅是演员还是个导演哟。他导演的有什么电影呀。
他是你爸爸	是你的。必须是我哈哈。他是你爸爸。
我不知道一轮明月是谁的代表作啊你介绍给我吧	是吗那我一定要去看看一轮明月的。你知道是谁的代表作吗获得过长春国际电影节最佳女主角奖呢。我不知道啊你介绍给我吧。
我操他说妈妈起的名字不可以换的	我想给你改一个名字。妈妈给起的名字不可以换的。我操他说妈妈起的名字不可以换的。
小爱喜欢你	你知道小爱吗。进了我的门，就是我的人，说好一辈子，不许提别人。。他喜欢你。
陈捷的代表作也是圣天门口呢陈捷还有一个代表作是满天星不知道你看过没有	徐璐属于很可爱的类型呢代表作是圣天门口。她代表作这个片子还不错的我很喜欢。陈捷的代表作也是这个呢他还有一个代表作是满天星不知道你看过没有。
渔樵问答属于什么	渔樵问答是什么曲子。《渔樵问答》是中国十大代表作品之一。该曲在历代传谱时有了30多种版本，还有附带歌词的曲谱。因为此曲的音乐形象准确而又生动，故而在近几百年来深受琴家的喜爱。从明代到现代，该曲仍在不断被作曲家们修订美化。。它属于什么。
千玺是男的	为什么不喜欢千玺。因为我不追女明星。他是男的。
哈哈可惜我已经超过那个年龄段了	是吗叫什么名字啊去看看的。叫大灌篮有评论说适合中学生朋友。哈哈可惜我已经超过那个年龄段了。
巴克叔叔居然是1989年的电影都比我还老了	我好像听说过巴克叔叔但是没看过。这部电影是一部老片了1989年8月16日上映的主演是盖比霍夫曼。居然是1989年的电影都比我还老了。
胡歌有没有和王晓晨在一起	聊聊胡歌。超喜欢仙剑时期的胡歌。他有没有和王晓晨在一起。
李玉刚多少岁	小微你知道李玉刚吗。医生唱的挺好听的呀不过李玉刚那是相当惊艳啊。这个人多少岁。
嗯嗯余力为还获得过台湾电影金马奖我知道	哦余力为我了解过很不错。是吧他还获得过台湾电影金马奖呢。嗯嗯这个我知道。
是嘛心花路放应该不错	心花路放上映了吗。早就已经上映了当年的票房还不错呢。是嘛那应该不错。
